symbol,market,name,em_code,em_id
LSEA,US,Landsea Homes Corp-A,105.LSEA,105
PLUR,US,Pluri Inc,105.PLUR,105
TYRA,US,Tyra Biosciences Inc,105.TYRA,105
MRM,US,MEDIROM Healthcare Technologies,105.MRM,105
BBIO,US,BridgeBio Pharma Inc,105.BBIO,105
BTCL,US,T-Rex 2X Long Bitcoin Daily Tar,107.BTCL,107
PRZO,US,ParaZero Technologies Ltd,105.PRZO,105
JELD,US,JELD-WEN Holding Inc,106.JELD,106
ICCM,US,IceCure Medical Ltd,105.ICCM,105
INVX,US,Innovex International Inc,106.INVX,106
FRAF,US,富兰克林金融服务,105.FRAF,105
LINK,US,互联电子,105.LINK,105
HOOD,US,Robinhood Markets Inc-A,105.HOOD,105
HL,US,赫克拉矿业,106.HL,106
SATL,US,Satellogic Inc-A,105.SATL,105
YRD,US,宜人智科,106.YRD,106
ELVA,US,Electrovaya Inc,105.ELVA,105
CSBR,US,Champions Oncology Inc,105.CSBR,105
BANR,US,邦纳,105.BANR,105
GTBP,US,GT Biopharma Inc,105.GTBP,105
NTZ,US,纳图兹家具,106.NTZ,106
BV,US,BrightView Holdings Inc,106.BV,106
AHT,US,阿什福德信托,106.AHT,106
GBCI,US,冰川万通金控,106.GBCI,106
KSCP,US,Knightscope Inc-A,105.KSCP,105
CWEB,US,Direxion Daily CSI China Intern,107.CWEB,107
AERT,US,Aeries Technology Inc-A,105.AERT,105
BZ,US,BOSS直聘,105.BZ,105
CHAU,US,二倍做多沪深300ETF-Direxion,107.CHAU,107
CANG,US,灿谷,106.CANG,106
KUKE,US,库客音乐,106.KUKE,106
CE,US,塞拉尼斯,106.CE,106
EME,US,埃姆科,106.EME,106
KGC,US,金罗斯黄金,106.KGC,106
OCSAW,US,Oculis Holding AG Wt,105.OCSAW,105
OSCR,US,Oscar Health Inc-A,106.OSCR,106
TH,US,Target Hospitality Corp,105.TH,105
MAMA,US,Mama’s Creations Inc,105.MAMA,105
PDX,US,PIMCO Dynamic Income Strategy F,106.PDX,106
PYPD,US,PolyPid Ltd,105.PYPD,105
RILYM,US,B. Riley Financial Inc Notes,105.RILYM,105
ARL,US,美国房地产投资,106.ARL,106
NGD,US,New Gold Inc,107.NGD,107
MAXI,US,Simplify Bitcoin Strategy PLUS ,105.MAXI,105
MTLS,US,Materialise NV ADR,105.MTLS,105
ICON,US,Icon Energy Corp,105.ICON,105
BLDR,US,Builders FirstSource Inc,106.BLDR,106
TIL,US,Instil Bio Inc,105.TIL,105
GYRE,US,Gyre Therapeutics Inc,105.GYRE,105
MHO,US,MI 家居,106.MHO,106
SEMR,US,SEMrush Holdings Inc-A,106.SEMR,106
LSF,US,Laird Superfood Inc,107.LSF,107
REAL,US,The RealReal Inc,105.REAL,105
ECG,US,Everus Construction Group Inc,106.ECG,106
WIX,US,Wix.com Ltd,105.WIX,105
DXPE,US,DXP Enterprises Inc,105.DXPE,105
SCE_M,US,SCE Trust VII Pfd,106.SCE_M,106
AG,US,First Majestic Silver Corp,106.AG,106
BYFC,US,百老汇金融,105.BYFC,105
RAIL,US,FreightCar America Inc,105.RAIL,105
NOMD,US,Nomad Foods Ltd,106.NOMD,106
AMPX_WS,US,Amprius Technologies Inc Wt,106.AMPX_WS,106
QSI,US,Quantum-Si Inc-A,105.QSI,105
SEZL,US,Sezzle Inc,105.SEZL,105
AUROW,US,Aurora Innovation Inc Wt,105.AUROW,105
VST,US,Vistra Corp,106.VST,106
XOMA,US,标记临床研究,105.XOMA,105
HNRG,US,Hallador Energy Co,105.HNRG,105
CELUW,US,Celularity Inc Wt,105.CELUW,105
NYC,US,American Strategic Investment C,106.NYC,106
PWP,US,Perella Weinberg Partners-A,105.PWP,105
MTA,US,Metalla Royalty & Streaming Ltd,107.MTA,107
UCAR,US,优品车,105.UCAR,105
